The Jungle Book;1;1;"The Jungle Book by Rudyard Kipling is an adventure story about a man-cub named Mowgli. Mowgli is hunted by an evil tiger named Shere Khan. Mowgli tries to live a peaceful life with other humans; but is too wild for them and too human for the wolves. Eventually Mowgli finds a home in the jungle with a pack of his own.";"Chapter 1: Mowgli's Birth;Chapter 2: Hunting Lessons;Chapter 3: The Bandar-log;Chapter 4: Kaa's Hunting"
The Second Jungle Book;1;1;The Second Jungle Book by Rudyard Kipling is a collection of stories about Mowgli and other jungle creatures. It continues the adventures of Mowgli and introduces new characters and challenges. The book provides further insights into the world of the jungle.;"Chapter 1: How Fear Came;Chapter 2: The Law of the Jungle;Chapter 3: Red Dog;Chapter 4: The Spring Running"
The Great Gatsby;2;4;"The Great Gatsby by F. Scott Fitzgerald is a novel set in the roaring twenties. It follows the life of Jay Gatsby; a mysterious millionaire; and his obsession with Daisy Buchanan. The novel explores themes of wealth; love; and the corruption of the American Dream.";"Chapter 1: Nick Carraway's Reflections;Chapter 2: The Party at Tom Buchanan's;Chapter 3: The Drunken Car Ride"
To Kill a Mockingbird;3;4;"To Kill a Mockingbird by Harper Lee is a classic coming-of-age novel. Set in the 1930s in Alabama; it tells the story of Scout Finch and her brother Jem as they witness the injustice and racism in their community. The novel tackles important themes of racism; prejudice; and the loss of innocence.";"Chapter 1: The Radley Place;Chapter 2: The First Day of School;Chapter 3: Walter Cunningham and Burris Ewell"
Pride and Prejudice;4;4;"Pride and Prejudice by Jane Austen is a beloved romance novel. It follows the story of Elizabeth Bennet and her complicated relationship with the proud Mr. Darcy. The novel explores themes of societal expectations; love; and the power of first impressions.";"Chapter 1: The Bennet Family;Chapter 2: The Meryton Assembly;Chapter 3: First Impressions"
1984;5;3;"1984 by George Orwell is a dystopian novel set in a totalitarian society. The protagonist; Winston Smith; rebels against the oppressive regime and questions the government's control over information and individual freedom. The novel serves as a warning about the dangers of totalitarianism and the importance of maintaining individuality.";"Part 1: Newspeak;Part 2: The Ministry of Love;Part 3: Room 101"
The Catcher in the Rye;6;2;"The Catcher in the Rye by J.D. Salinger is a coming-of-age novel narrated by Holden Caulfield. It explores themes of teenage angst; identity; and the loss of innocence. Holden's cynical and rebellious voice has made the novel a classic of American literature.";"Chapter 1: Holden's Reflections;Chapter 2: The Pencey Prep Experience;Chapter 3: The Museum of Natural History"
Moby-Dick;7;3;"Moby-Dick by Herman Melville is an epic tale of Captain Ahab's obsession with hunting down the white whale; Moby Dick. The novel delves into themes of obsession; fate; and the nature of evil. It is considered one of the greatest works of American literature.";"Chapter 1: Call Me Ishmael;Chapter 2: The Spouter-Inn;Chapter 3: The Chapel"
The Lord of the Rings;8;2;"The Lord of the Rings by J.R.R. Tolkien is a high fantasy trilogy that follows the quest to destroy the One Ring and defeat the Dark Lord Sauron. It explores themes of heroism; friendship; and the struggle between good and evil.";"Book 1: The Fellowship of the Ring;Book 2: The Two Towers;Book 3: The Return of the King"
The Hobbit;8;2;"The Hobbit by J.R.R. Tolkien is a prequel to The Lord of the Rings. It tells the story of Bilbo Baggins; a hobbit who is swept into an adventure to reclaim the dwarves' homeland from the dragon Smaug. The novel combines elements of fantasy; adventure; and humor.";"Chapter 1: An Unexpected Party;Chapter 2: Roast Mutton;Chapter 3: A Short Rest"
